54,-912,-32
120,-752,48
185,48,240
247,32,-16
311,-32,-144
373,-48,-128
436,-112,144
500,-160,320
566,-192,208
629,-192,0
693,-64,-96
759,-32,0
824,0,176
890,64,208
952,96,64
1015,144,-80
1078,160,-80
1141,112,64
1204,0,176
1266,-16,192
1331,-48,64
1397,-112,-80
1463,-144,-16
1529,-160,96
1592,-176,224
1655,-48,112
1720,-32,0
1782,0,-48
1846,48,16
1909,80,112
1971,96,176
2034,96,96
2097,80,-48
2162,-32,-48
2228,-48,32
2294,-80,112
2360,-112,96
2421,-128,32
2485,-144,-16
2548,-128,32
2610,-32,96
2674,0,112
2736,16,48
2801,48,0
2867,64,16
2933,80,32
2998,64,112
3060,-64,80
3124,-80,16
3186,-96,0
3250,-112,48
3312,-112,80
3375,-144,80
3439,-128,80
3505,-48,-16
3571,0,80
3638,0,128
3700,48,48
3763,32,32
3829,32,32
3895,-64,16
3960,-32,128
4023,-128,-48
4086,-128,-32
4150,-48,16
4211,-80,32
4276,-96,80
4342,-208,0
