54,-816,0
119,-784,-16
185,-176,48
247,-96,64
309,16,176
373,224,208
436,0,-128
499,-48,-16
561,-80,0
626,-112,112
690,-128,176
753,-128,176
818,-32,112
802,-32,48
866,32,32
928,64,32
992,96,80
1055,112,144
1117,128,160
1181,128,144
1247,128,80
1314,32,16
1380,16,32
1446,0,64
1508,-48,96
1571,-80,128
1637,-112,128
1703,-128,96
1768,-112,64
1830,-16,48
1894,0,80
1957,32,96
2019,64,112
2083,80,112
2149,96,80
2215,96,64
2282,96,64
2347,16,80
2410,16,112
2473,0,112
2535,-32,96
2599,-48,80
2664,-80,64
2726,-96,64
2789,-112,80
2853,-64,128
2915,0,128
2977,16,80
3039,48,64
3106,64,48
3171,64,64
3237,80,80
3303,80,96
3369,64,96
3431,-16,112
3495,-16,64
3557,-32,64
3619,-48,64
3684,-64,80
3750,-80,112
3817,-80,112
3881,-80,80
3943,0,48
4008,32,48
4073,32,64
4135,32,96
4199,48,80
4262,48,96
4328,48,80
4391,48,64
4454,-16,64
4521,-32,64
4583,-64,128
4647,-80,96
4713,-64,96
4778,-80,64
4840,-64,32
4904,-48,80
4966,-16,80
5029,16,144
5092,16,64
5155,32,112
5218,16,96
5280,32,80
5344,32,48
5410,-128,112
5477,32,48
5543,16,64
5605,-112,160
5668,-64,96
